base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
3clusters_3outliers,logreg,4,t12,Logistic_rMTFL,0.5868935424430084,0.7632398753894081,0.6891566746871993,0.1999446232998361,"{""tau"": 0.1662056260996439, ""lam"": 0.8442627443703848, ""max_iter"": 1163, ""tol"": 2.4299373488781202e-05, ""tau_init"": 0.8927871045324826, ""cont_factor"": 0.579561629708674, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t12,Single_Task,0.6268561175212777,0.698120791880213,0.6651213187829826,0.219642764931509,
3clusters_3outliers,logreg,4,t13,ATL_selector,0.5431837887068627,0.8034076015727392,0.7286774509888496,0.1813755333784207,
3clusters_3outliers,logreg,4,t13,Logistic_Dirty,0.5859452687751489,0.7756830325637665,0.7006620526050573,0.1998351328665923,"{""lam1"": 0.06525526472297243, ""lam2"": 0.07986661153361554, ""max_iter"": 836, ""tol"": 0.0003659884989493143, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t13,Logistic_L21,0.5845460100222009,0.773969150115939,0.7007355111102911,0.1993892737483586,"{""lam"": 0.06717918111771402, ""max_iter"": 612, ""tol"": 0.0003855617871914815, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t13,Logistic_rMTFL,0.562203106433596,0.8036092348018953,0.736014676609669,0.1877182368227977,"{""tau"": 0.11872322431632915, ""lam"": 0.13375624887570417, ""max_iter"": 1563, ""tol"": 9.095050190478233e-05, ""tau_init"": 1.7594166321286295, ""cont_factor"": 0.7031994323834431, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t13,Single_Task,0.5862456574496475,0.767819336626676,0.6916556459486309,0.1988618390353971,
3clusters_3outliers,logreg,4,t14,ATL_selector,0.6183107524649406,0.7443,0.7295056247654098,0.2080374616269741,
3clusters_3outliers,logreg,4,t14,Logistic_Dirty,0.6334693964610606,0.7194,0.7156297954322333,0.2194464036115791,"{""lam1"": 0.06442397026139668, ""lam2"": 0.05030781735447241, ""max_iter"": 440, ""tol"": 0.00021433724672297415, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t14,Logistic_L21,0.6440542947020887,0.7177,0.7163286120176957,0.2223450943379987,"{""lam"": 0.05726625092229816, ""max_iter"": 858, ""tol"": 3.545375133487295e-05, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t14,Logistic_rMTFL,0.6208952901992744,0.7392,0.7299029285236684,0.2107745604783621,"{""tau"": 0.10429980739102296, ""lam"": 0.2030335770967116, ""max_iter"": 1215, ""tol"": 5.662656880674377e-05, ""tau_init"": 0.9885691251252066, ""cont_factor"": 0.6596812336907346, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t14,Single_Task,0.6490150026403124,0.7140000000000001,0.711527813138346,0.2240115983756838,
3clusters_3outliers,logreg,4,t15,ATL_selector,0.6572931145763703,0.6819047619047619,0.6829376777451006,0.2288543612853381,
